scene,floor,question,choices,question_formatted,answer,label,source_image
00218-fQHGxvurx9L,0,Does the wardrobe share the same material as the window frame in the bedroom?,"['Yes', 'No', 'Only partially', 'Cannot be determined']",Does the wardrobe share the same material as the window frame in the bedroom? A) Yes B) No C) Only partially D) Cannot be determined. Answer:,A,Attribute,00218-fQHGxvurx9L_1.png
00526-PFLHHbjscNN,0,Is the washing machine closer to the door in the house?,"['Yes', 'No', 'Same distance', 'Cannot determine']",Is the washing machine closer to the door in the house? A) Yes B) No C) Same distance D) Cannot determine. Answer:,B,Relationship,00526-PFLHHbjscNN_1.png
00698-SrHVAbHUpUX,0,Is the table lamp smaller in size than the floor lamp in the bedroom?,"['Yes', 'No', 'They are the same size', 'Cannot be determined']",Is the table lamp smaller in size than the floor lamp in the bedroom? A) Yes B) No C) They are the same size D) Cannot be determined. Answer:,A,Comparison,00698-SrHVAbHUpUX_1.png
00884-XMHNu9rRQ1y,0,Is the bookshelf larger than the cabinet in the living room?,"['Yes', 'No', 'They are the same size', 'Cannot determine']",Is the bookshelf larger than the cabinet in the living room? A) Yes B) No C) They are the same size D) Cannot determine. Answer:,A,Comparison,00884-XMHNu9rRQ1y_1.png
00411-o4tckGBtaxz,0,Is the oven taller than the toaster in the kitchen?,"['Yes', 'No', 'They are the same height', 'Toaster is taller']",Is the oven taller than the toaster in the kitchen? A) Yes B) No C) They are the same height D) Toaster is taller. Answer:,A,Comparison,00411-o4tckGBtaxz_1.png
00364-tEafuWwhhwr,0,Is the TV in the room smaller than the dresser in the room?,"['Yes', 'No', 'Both are the same size', 'Cannot determine']",Is the TV in the room smaller than the dresser in the room? A) Yes B) No C) Both are the same size D) Cannot determine. Answer:,A,Comparison,00364-tEafuWwhhwr_1.png
00794-WRphMcFxfhe,0,Is the sink in the kitchen wider than the toilet in the bathroom?,"['Yes', 'No', ""They're the same width"", 'Cannot determine']",Is the sink in the kitchen wider than the toilet in the bathroom? A) Yes B) No C) They're the same width D) Cannot determine. Answer:,A,Comparison,00794-WRphMcFxfhe_0.png
00277-RHrFkyC59tf,0,Is the staircase closer to the door than the painting?,"['Yes', 'No', 'They are equidistant', 'It cannot be determined']",Is the staircase closer to the door than the painting? A) Yes B) No C) They are equidistant D) It cannot be determined. Answer:,A,Relationship,00277-RHrFkyC59tf_1.png
00062-ACZZiU6BXLz,0,Is the ceiling fan closer to the bed than the window?,"['Yes', 'No', 'They are equidistant', 'Cannot determine']",Is the ceiling fan closer to the bed than the window? A) Yes B) No C) They are equidistant D) Cannot determine. Answer:,A,Relationship,00062-ACZZiU6BXLz_1.png
00271-cjLuWviyDEo,0,Is the mirror closer to the bathroom or the staircase in the house?,"['Bathroom', 'Staircase', 'Both equidistant', 'Cannot be determined']",Is the mirror closer to the bathroom or the staircase in the house? A) Bathroom B) Staircase C) Both equidistant D) Cannot be determined. Answer:,A,Relationship,00271-cjLuWviyDEo_0.png
00081-5biL7VEkByM,0,Does the couch face the window in the room?,"['Yes', 'No', 'Partly', 'Cannot Tell']",Does the couch face the window in the room? A) Yes B) No C) Partly D) Cannot Tell. Answer:,A,Relationship,00081-5biL7VEkByM_1.png
00365-tvvDpjzFJGe,0,Is the wooden beam used in the ceiling near the same position as the dining table in the room?,"['Yes', 'No', 'Only partially', 'Not visible']",Is the wooden beam used in the ceiling near the same position as the dining table in the room? A) Yes B) No C) Only partially D) Not visible. Answer:,A,Relationship,00365-tvvDpjzFJGe_0.png
00623-g7sKCMRfgUS,0,Does the room with the window have more natural light than the room with the light fixture?,"['Yes', 'No', 'They are the same', 'Not enough information']",Does the room with the window have more natural light than the room with the light fixture? A) Yes B) No C) They are the same D) Not enough information. Answer:,A,Comparison,00623-g7sKCMRfgUS_0.png
00016-qk9eeNeR4vw,0,Does the sofa face the television in the room?,"['Yes', 'No', 'Only partially', 'Cannot be determined']",Does the sofa face the television in the room? A) Yes B) No C) Only partially D) Cannot be determined. Answer:,A,Relationship,00016-qk9eeNeR4vw_1.png
00174-BqLwEyiLbza,0,Is the door wider than the window in the bedroom?,"['Yes', 'No', 'They are the same width', 'Cannot be determined']",Is the door wider than the window in the bedroom? A) Yes B) No C) They are the same width D) Cannot be determined. Answer:,B,Comparison,00174-BqLwEyiLbza_0.png
00538-3CBBjsNkhqW,0,Do the clothes appear in the same room as the shelves in this house?,"['Yes', 'No', 'Only in the bedroom', 'Only in the basement']",Do the clothes appear in the same room as the shelves in this house? A) Yes B) No C) Only in the bedroom D) Only in the basement. Answer:,A,Relationship,00538-3CBBjsNkhqW_0.png
00863-b28CWbpQvor,0,Does the bookshelf contain more items than the table in the house?,"['Yes', 'No', 'They contain the same number', 'Not enough information']",Does the bookshelf contain more items than the table in the house? A) Yes B) No C) They contain the same number D) Not enough information. Answer:,A,Comparison,00863-b28CWbpQvor_1.png
00606-W16Bm4ysK8v,0,Is the monitor bigger than the laptop in the study room?,"['Yes', 'No', 'They are the same size', 'Not visible']",Is the monitor bigger than the laptop in the study room? A) Yes B) No C) They are the same size D) Not visible. Answer:,A,Comparison,00606-W16Bm4ysK8v_0.png
00182-qWP3MMQM3eJ,0,Is the desk in the room next to the bed?,"['Yes', 'No', 'Unsure', 'Cannot say']",Is the desk in the room next to the bed? A) Yes B) No C) Unsure D) Cannot say. Answer:,B,Relationship,00182-qWP3MMQM3eJ_1.png
00645-rrjjmoZhZCo,0,Is the ceiling fan closer to the desk than the stairs?,"['Yes', 'No', 'They are equidistant', 'There is no ceiling fan']",Is the ceiling fan closer to the desk than the stairs? A) Yes B) No C) They are equidistant D) There is no ceiling fan. Answer:,B,Relationship,00645-rrjjmoZhZCo_0.png
00593-m17UDpW3tHm,0,Is the couch in the living room larger than the bed in the bedroom?,"['Yes', 'No', 'They are the same size', 'Not comparable']",Is the couch in the living room larger than the bed in the bedroom? A) Yes B) No C) They are the same size D) Not comparable. Answer:,B,Comparison,00593-m17UDpW3tHm_1.png
00740-cFqWyQ4Y9hT,0,Is the TV bigger than the wooden dresser?,"['Yes', 'No', 'They appear the same size', ""Can't tell""]",Is the TV bigger than the wooden dresser? A) Yes B) No C) They appear the same size D) Can't tell. Answer:,B,Comparison,00740-cFqWyQ4Y9hT_0.png
00693-adddVdvEXUK,0,Does the curtain in the room share the same color as the aquarium?,"['Yes', 'No', 'Partially', 'Cannot determine']",Does the curtain in the room share the same color as the aquarium? A) Yes B) No C) Partially D) Cannot determine. Answer:,B,Comparison,00693-adddVdvEXUK_1.png
00324-DoSbsoo4EAg,0,Is the refrigerator closer to the kitchen cabinet or farther from the kitchen cabinet than the living room?,"['Closer', 'Farther', 'Same distance', 'Not visible']",Is the refrigerator closer to the kitchen cabinet or farther from the kitchen cabinet than the living room? A) Closer B) Farther C) Same distance D) Not visible. Answer:,A,Relationship,00324-DoSbsoo4EAg_1.png
00881-u1bkiGRVyu9,0,Does the flower vase's color contrast the red ceiling lamp in the kitchen?,"['Yes', 'No', 'The colors are similar', 'The colors perfectly match']",Does the flower vase's color contrast the red ceiling lamp in the kitchen? A) Yes B) No C) The colors are similar D) The colors perfectly match. Answer:,A,Comparison,00881-u1bkiGRVyu9_1.png
00541-FnDDfrBZPhh,0,Is the TV in the living room closer to the sofa than in the basement?,"['Yes', 'No', 'Same distance', 'Impossible to determine']",Is the TV in the living room closer to the sofa than in the basement? A) Yes B) No C) Same distance D) Impossible to determine. Answer:,A,Relationship,00541-FnDDfrBZPhh_0.png
00851-YRUkbU5xsYj,0,Is the microwave positioned above the stove in the kitchen?,"['Yes', 'No', 'They are side by side', 'The stove is above the microwave']",Is the microwave positioned above the stove in the kitchen? A) Yes B) No C) They are side by side D) The stove is above the microwave. Answer:,A,Relationship,00851-YRUkbU5xsYj_0.png
00644-njMGKG4iwRK,0,Does the refrigerator share the same color as the oven in the kitchen?,"['Yes', 'No', 'Only the front', 'Only the sides']",Does the refrigerator share the same color as the oven in the kitchen? A) Yes B) No C) Only the front D) Only the sides. Answer:,A,Attribute,00644-njMGKG4iwRK_1.png
00429-UZ5rYGiwQgW,0,Is the chair positioned in front of the desk in the room?,"['Yes', 'No', 'The chair is beside the desk', 'The chair is behind the desk']",Is the chair positioned in front of the desk in the room? A) Yes B) No C) The chair is beside the desk D) The chair is behind the desk. Answer:,A,Relationship,00429-UZ5rYGiwQgW_1.png
00248-PM558qFsyi8,0,Does the lamp produce light near the bed in the bedroom?,"['Yes', 'No', 'Partially', 'Not visible']",Does the lamp produce light near the bed in the bedroom? A) Yes B) No C) Partially D) Not visible. Answer:,A,Relationship,00248-PM558qFsyi8_0.png
00248-PM558qFsyi8,0,Do the curtains cover more of the windows in the room?,"['Yes, the curtains cover more of the windows', 'No, the curtains cover less', 'They cover equally', 'None of the above']","Do the curtains cover more of the windows in the room? A) Yes, the curtains cover more of the windows B) No, the curtains cover less C) They cover equally D) None of the above. Answer:",A,Attribute,00248-PM558qFsyi8_1.png
00357-TzQLNfWugiZ,0,Is the ceiling fan in the bedroom closer to the window than the ceiling fan in the living room?,"['Yes', 'No', 'They are equidistant', 'There is no ceiling fan in the living room']",Is the ceiling fan in the bedroom closer to the window than the ceiling fan in the living room? A) Yes B) No C) They are equidistant D) There is no ceiling fan in the living room. Answer:,A,Relationship,00357-TzQLNfWugiZ_0.png
00366-fxbzYAGkrtm,0,Does the mirror share the same wall as the sink in the bathroom?,"['Yes', 'No', 'Only partially', 'Cannot determine']",Does the mirror share the same wall as the sink in the bathroom? A) Yes B) No C) Only partially D) Cannot determine. Answer:,A,Relationship,00366-fxbzYAGkrtm_1.png
00702-wCqnXzoru3X,0,Is the bed larger than the couch?,"['Yes', 'No', 'They are the same size', 'Cannot be determined']",Is the bed larger than the couch? A) Yes B) No C) They are the same size D) Cannot be determined. Answer:,D,Comparison,00702-wCqnXzoru3X_0.png
00595-TBdN234fGEb,0,Are the stairs made of the same material as the wooden beams?,"['Yes', 'No', 'Only partially', 'Unknown']",Are the stairs made of the same material as the wooden beams? A) Yes B) No C) Only partially D) Unknown. Answer:,A,Relationship,00595-TBdN234fGEb_1.png
00754-EqZacbtdApE,0,Is the door taller than the ceiling light in the hallway?,"['Yes', 'No', 'The door and ceiling light are the same height', 'Cannot be determined']",Is the door taller than the ceiling light in the hallway? A) Yes B) No C) The door and ceiling light are the same height D) Cannot be determined. Answer:,A,Comparison,00754-EqZacbtdApE_1.png
00233-PuFu1zFVc4k,0,Is the white wardrobe taller than the wooden shoe rack in the hallway?,"['Yes', 'No', 'They are the same height', 'Cannot be determined']",Is the white wardrobe taller than the wooden shoe rack in the hallway? A) Yes B) No C) They are the same height D) Cannot be determined. Answer:,A,Comparison,00233-PuFu1zFVc4k_1.png
00019-AfKhsVmG8L4,0,Is the window larger than the door in the house?,"['Yes', 'No', 'They are the same size', 'Cannot tell from the image']",Is the window larger than the door in the house? A) Yes B) No C) They are the same size D) Cannot tell from the image. Answer:,B,Comparison,00019-AfKhsVmG8L4_1.png
00359-aTf5zsbjZMb,0,Does the cabinet appear closer than the television within the rooms shown?,"['Yes', 'No', 'They are the same distance', 'Cannot determine']",Does the cabinet appear closer than the television within the rooms shown? A) Yes B) No C) They are the same distance D) Cannot determine. Answer:,A,Relationship,00359-aTf5zsbjZMb_0.png
00750-E1NrAhMoqvB,0,Does the table in the dining room have more chairs surrounding it than the table in the living area?,"['Yes', 'No', 'They have the same number', 'Cannot determine']",Does the table in the dining room have more chairs surrounding it than the table in the living area? A) Yes B) No C) They have the same number D) Cannot determine. Answer:,A,Comparison,00750-E1NrAhMoqvB_1.png
00347-bwoBmU23M2N,0,Is the stairs closer to the kitchen than the dining table in the house?,"['Yes', 'No', 'The distance is the same', 'Cannot be determined']",Is the stairs closer to the kitchen than the dining table in the house? A) Yes B) No C) The distance is the same D) Cannot be determined. Answer:,B,Relationship,00347-bwoBmU23M2N_0.png
00627-b2e31HFFizw,0,Is the mirror wider than the dresser in the bedroom?,"['Yes', 'No', 'They are the same width', 'Cannot be determined']",Is the mirror wider than the dresser in the bedroom? A) Yes B) No C) They are the same width D) Cannot be determined. Answer:,B,Comparison,00627-b2e31HFFizw_1.png
00653-4RuxhXRmb3V,0,Does the sink in the kitchen share the same design as the sink in the bathroom?,"['Yes', 'No', 'Only partly', 'They are identical']",Does the sink in the kitchen share the same design as the sink in the bathroom? A) Yes B) No C) Only partly D) They are identical. Answer:,B,Comparison,00653-4RuxhXRmb3V_1.png
00464-NfkadBDgBJV,0,Does the curtain cover the window?,"['Fully', 'Partially', 'Not at all', 'Depends on time of day']",Does the curtain cover the window? A) Fully B) Partially C) Not at all D) Depends on time of day. Answer:,B,Relationship,00464-NfkadBDgBJV_1.png
00472-Xuky7E5df6A,0,Does the painting in the hallway have more vibrant colors than the painting in the living room?,"['Yes', 'No', 'Both have equally vibrant colors', 'It is not visible']",Does the painting in the hallway have more vibrant colors than the painting in the living room? A) Yes B) No C) Both have equally vibrant colors D) It is not visible. Answer:,A,Comparison,00472-Xuky7E5df6A_0.png
00432-vCfHLVSyL21,0,Does the window have more visible panels than the cabinet handles in the house?,"['Yes', 'No', 'They are equal', 'Cannot be determined']",Does the window have more visible panels than the cabinet handles in the house? A) Yes B) No C) They are equal D) Cannot be determined. Answer:,A,Comparison,00432-vCfHLVSyL21_1.png
00131-bZsfeA9uRk7,0,Are the wooden beams closer to the glass doors in the terrace or the living room?,"['Terrace', 'Living Room', 'Both are equidistant', 'None of the above']",Are the wooden beams closer to the glass doors in the terrace or the living room? A) Terrace B) Living Room C) Both are equidistant D) None of the above. Answer:,A,Relationship,00131-bZsfeA9uRk7_1.png
00851-YRUkbU5xsYj,0,Does the window have the same color as the chair?,"['Yes', 'No', 'Partially', 'Unsure']",Does the window have the same color as the chair? A) Yes B) No C) Partially D) Unsure. Answer:,B,Attribute,00851-YRUkbU5xsYj_1.png
00518-o1F5JVHc6mb,0,Is the dining table larger than the kitchen table?,"['Yes', 'No', 'Same size', 'Indeterminable']",Is the dining table larger than the kitchen table? A) Yes B) No C) Same size D) Indeterminable. Answer:,A,Comparison,00518-o1F5JVHc6mb_0.png
00380-fdfRpE6Cfsr,0,Is the crib closer to the door than the rocking horse in the house?,"['Yes', 'No', 'They are equidistant', 'Cannot tell']",Is the crib closer to the door than the rocking horse in the house? A) Yes B) No C) They are equidistant D) Cannot tell. Answer:,A,Comparison,00380-fdfRpE6Cfsr_1.png
00688-SgkmkWjjmDJ,0,Does the sign share the same room as the dining table?,"['Yes', 'No', 'The sign is in a different house', 'The dining table is invisible']",Does the sign share the same room as the dining table? A) Yes B) No C) The sign is in a different house D) The dining table is invisible. Answer:,A,Relationship,00688-SgkmkWjjmDJ_1.png
00274-NcK5aACg44h,0,Is the curtain longer than the window in the room with blue walls?,"['Yes', 'No', 'Same length', 'Cannot determine']",Is the curtain longer than the window in the room with blue walls? A) Yes B) No C) Same length D) Cannot determine. Answer:,B,Attribute,00274-NcK5aACg44h_1.png
005831wypxmRjuUR,0,"Is the sign with ""CAPE ANN Inc. 1623"" farther from the couch in the living room than the kitchen's dining table?","['Yes', 'No', 'They are equally distant', 'Cannot determine']","Is the sign with ""CAPE ANN Inc. 1623"" farther from the couch in the living room than the kitchen's dining table? A) Yes B) No C) They are equally distant D) Cannot determine. Answer:",A,Comparison,005831wypxmRjuUR_0.png
00443-oz1yTAGPXkh,0,Is the dresser taller than the wardrobe in the house?,"['Yes', 'No', 'They are the same height', 'Not enough information']",Is the dresser taller than the wardrobe in the house? A) Yes B) No C) They are the same height D) Not enough information. Answer:,D,Comparison,00443-oz1yTAGPXkh_1.png
00398-Vnb6uKtzQCU,0,Is the pool table in the same room as the bar counter?,"['Yes', 'No', 'Only the bar counter is present', 'Only the pool table is present']",Is the pool table in the same room as the bar counter? A) Yes B) No C) Only the bar counter is present D) Only the pool table is present. Answer:,A,Relationship,00398-Vnb6uKtzQCU_0.png
00632-kXAEFtUBNFZ,0,Is the wardrobe taller than the desk in the room?,"['Yes', 'No', 'They are the same height', 'Insufficient information']",Is the wardrobe taller than the desk in the room? A) Yes B) No C) They are the same height D) Insufficient information. Answer:,A,Comparison,00632-kXAEFtUBNFZ_0.png
00314-NwG7cpZnRZb,0,Is the table surrounded by more chairs in the kitchen or the dining room?,"['Kitchen', 'Dining Room', 'Same number', 'Cannot determine']",Is the table surrounded by more chairs in the kitchen or the dining room? A) Kitchen B) Dining Room C) Same number D) Cannot determine. Answer:,A,Relationship,00314-NwG7cpZnRZb_1.png
00243-BfzKZxFShtq,0,Are the bar stools taller than the tables in the room?,"['Yes', 'No', 'Same height', 'Not visible']",Are the bar stools taller than the tables in the room? A) Yes B) No C) Same height D) Not visible. Answer:,A,Comparison,00243-BfzKZxFShtq_1.png
00063-KsD3yx9nZCv,0,Are the tables and chairs in the room with red tablecloths arranged more uniformly than those in the room with blue tablecloths?,"['Yes', 'No', 'They are evenly arranged in both rooms', 'They are not uniformly arranged in either room']",Are the tables and chairs in the room with red tablecloths arranged more uniformly than those in the room with blue tablecloths? A) Yes B) No C) They are evenly arranged in both rooms D) They are not uniformly arranged in either room. Answer:,A,Comparison,00063-KsD3yx9nZCv_0.png
00360-yA3RqPqMrGE,0,Is the lamp taller than the chandelier in the dining room?,"['Yes', 'No', 'Both are the same height', 'Cannot be determined']",Is the lamp taller than the chandelier in the dining room? A) Yes B) No C) Both are the same height D) Cannot be determined. Answer:,B,Comparison,00360-yA3RqPqMrGE_1.png
00038-aJg466zMSNt,0,Does the coat hook face the mirror in this hallway?,"['Yes', 'No', 'Only partially', 'They are adjacent']",Does the coat hook face the mirror in this hallway? A) Yes B) No C) Only partially D) They are adjacent. Answer:,A,Relationship,00038-aJg466zMSNt_0.png
00539-zUG6FL9TYeR,0,Is the bed in the same room as the dresser?,"['Yes', 'No', 'Maybe', 'Not sure']",Is the bed in the same room as the dresser? A) Yes B) No C) Maybe D) Not sure. Answer:,A,Relationship,00539-zUG6FL9TYeR_1.png
00544-t85xiAt9pao,0,Is the plant closer to the staircase than the table in the house?,"['Yes', 'No', 'Both are equally close', 'Not enough information']",Is the plant closer to the staircase than the table in the house? A) Yes B) No C) Both are equally close D) Not enough information. Answer:,A,Relationship,00544-t85xiAt9pao_0.png
00259-4J8N2Ah1a6o,0,Is the washing machine closer than the refrigerator to the circular window in the laundry room?,"['Yes', 'No', 'Both are equidistant', 'Cannot be determined']",Is the washing machine closer than the refrigerator to the circular window in the laundry room? A) Yes B) No C) Both are equidistant D) Cannot be determined. Answer:,A,Relationship,00259-4J8N2Ah1a6o_1.png
00076-fJ1GEE6PdHD,0,Is the staircase closer to the mirror in the house?,"['Yes', 'No', 'They are at the same distance', 'There is no mirror']",Is the staircase closer to the mirror in the house? A) Yes B) No C) They are at the same distance D) There is no mirror. Answer:,A,Attribute,00076-fJ1GEE6PdHD_0.png
00505-ZwnLFNzxASM,0,Is the color of the curtains similar to the kitchen counter? ,"['Yes, they are the same', 'No, they are different', 'They are similar but not the same', 'Unknown']","Is the color of the curtains similar to the kitchen counter?  A) Yes, they are the same B) No, they are different C) They are similar but not the same D) Unknown. Answer:",B,Comparison,00505-ZwnLFNzxASM_1.png
00189-KHhgcNqsc9h,0,Does the window in the image have curtains?,"['Yes', 'No', 'Only partially', 'Cannot be determined']",Does the window in the image have curtains? A) Yes B) No C) Only partially D) Cannot be determined. Answer:,A,Attribute,00189-KHhgcNqsc9h_1.png
00454-vjMVcmpC1hC,0,Is the microwave located higher than the oven in the kitchen?,"['Yes', 'No', 'They are at the same level', 'Unable to determine']",Is the microwave located higher than the oven in the kitchen? A) Yes B) No C) They are at the same level D) Unable to determine. Answer:,A,Comparison,00454-vjMVcmpC1hC_1.png
00868-vd3HHTEpmyA,0,Is the staircase closer to the entrance than the dining table in the house?,"['Yes', 'No', 'They are equidistant', 'Cannot be determined']",Is the staircase closer to the entrance than the dining table in the house? A) Yes B) No C) They are equidistant D) Cannot be determined. Answer:,A,Relationship,00868-vd3HHTEpmyA_1.png
00869-MHPLjHsuG27,0,Does the door in the hallway share the same color as the door in the living room?,"['Yes', 'No', 'Partially', 'Cannot determine']",Does the door in the hallway share the same color as the door in the living room? A) Yes B) No C) Partially D) Cannot determine. Answer:,A,Comparison,00869-MHPLjHsuG27_1.png
00640-qvNra81N8BU,0,Is the radiator in the entrance larger than the radiator in the garage?,"['Yes', 'No', 'They are the same size', 'Not visible']",Is the radiator in the entrance larger than the radiator in the garage? A) Yes B) No C) They are the same size D) Not visible. Answer:,B,Comparison,00640-qvNra81N8BU_0.png
00765-AuGMayXVFkc,0,Does the window in the bedroom appear larger than the door in the bedroom?,"['Yes', 'No', 'They are the same size', 'Cannot determine']",Does the window in the bedroom appear larger than the door in the bedroom? A) Yes B) No C) They are the same size D) Cannot determine. Answer:,A,Comparison,00765-AuGMayXVFkc_1.png
00453-6ySDHVkso9e,0,Does the kitchen window have the same number of panes as the living room window?,"['Yes', 'No', 'The kitchen window has more panes', 'The living room window has more panes']",Does the kitchen window have the same number of panes as the living room window? A) Yes B) No C) The kitchen window has more panes D) The living room window has more panes. Answer:,A,Comparison,00453-6ySDHVkso9e_1.png
00225-EbiLVt7CHc1,0,Does the window share the same wall as the heater in the room?,"['Yes', 'No', 'Only one of them is present', 'They are in different rooms']",Does the window share the same wall as the heater in the room? A) Yes B) No C) Only one of them is present D) They are in different rooms. Answer:,A,Relationship,00225-EbiLVt7CHc1_0.png
00766-XxbS57Z6PDU,0,Does the shelf have the same color as the wall in the room?,"['Yes', 'No', 'Partially', 'They are unpainted']",Does the shelf have the same color as the wall in the room? A) Yes B) No C) Partially D) They are unpainted. Answer:,B,Comparison,00766-XxbS57Z6PDU_1.png
00793-NRsmXFcVTbN,0,Is the window larger than the door in the house?,"['Yes', 'No', 'The same size', 'Cannot determine']",Is the window larger than the door in the house? A) Yes B) No C) The same size D) Cannot determine. Answer:,A,Comparison,00793-NRsmXFcVTbN_1.png
00097-rPwrKEnR3fk,0,Does the bathtub share the same material as the showerhead in the bathroom?,"['Yes', 'No', 'Depends on the angle', 'Not clear']",Does the bathtub share the same material as the showerhead in the bathroom? A) Yes B) No C) Depends on the angle D) Not clear. Answer:,B,Relationship,00097-rPwrKEnR3fk_1.png
00886-TPhiubUHKcP,0,Is the light switch closer to the thermostat than the wooden door in the house?,"['Yes', 'No', 'They are equidistant', 'Cannot determine']",Is the light switch closer to the thermostat than the wooden door in the house? A) Yes B) No C) They are equidistant D) Cannot determine. Answer:,A,Relationship,00886-TPhiubUHKcP_0.png
00772-zJ3fVx3BZYR,0,Is the ladder taller than the paint bucket in the room?,"['Yes', 'No', 'They are the same height', 'Cannot determine']",Is the ladder taller than the paint bucket in the room? A) Yes B) No C) They are the same height D) Cannot determine. Answer:,A,Comparison,00772-zJ3fVx3BZYR_1.png
00352-zmZvNTCxMZE,0,Does the radiator share the same material as the wooden walls in the room?,"['Yes', 'No', 'Partially', ""Can't determine""]",Does the radiator share the same material as the wooden walls in the room? A) Yes B) No C) Partially D) Can't determine. Answer:,B,Attribute,00352-zmZvNTCxMZE_0.png
00794-WRphMcFxfhe,0,Does the floor in the rooms have a different color compared to the walls?,"['Yes', 'No', 'Only in some rooms', 'The colors are the same but different shades']",Does the floor in the rooms have a different color compared to the walls? A) Yes B) No C) Only in some rooms D) The colors are the same but different shades. Answer:,A,Comparison,00794-WRphMcFxfhe_1.png
00106-ZVScmfktNQ1,0,Is the refrigerator taller than the television in the house?,"['Yes', 'No', 'Same height', 'Cannot determine']",Is the refrigerator taller than the television in the house? A) Yes B) No C) Same height D) Cannot determine. Answer:,A,Comparison,00106-ZVScmfktNQ1_1.png
00137-2tqbn5VLQoq,0,Does the toilet share the same room as the sink?,"['Yes', 'No', 'Uncertain', 'Same room not shown']",Does the toilet share the same room as the sink? A) Yes B) No C) Uncertain D) Same room not shown. Answer:,A,Relationship,00137-2tqbn5VLQoq_1.png
00287-SBHLgvFTVMZ,0,Is the toilet closer than the shower to the entrance in the bathroom?,"['Yes', 'No', 'Cannot be determined', 'They are equidistant']",Is the toilet closer than the shower to the entrance in the bathroom? A) Yes B) No C) Cannot be determined D) They are equidistant. Answer:,A,Attribute,00287-SBHLgvFTVMZ_1.png
00295-LQy8D2nmZ4x,0,Is the bookshelf closer to the dining table or farther from it compared to other furniture in the room?,"['Closer', 'Farther', 'At the same distance', 'No way to tell']",Is the bookshelf closer to the dining table or farther from it compared to other furniture in the room? A) Closer B) Farther C) At the same distance D) No way to tell. Answer:,A,Relationship,00295-LQy8D2nmZ4x_1.png
00190-NkvRYHk72vA,0,Does the sofa face the shelf in the room?,"['Yes', 'No', 'Partially', 'Cannot tell']",Does the sofa face the shelf in the room? A) Yes B) No C) Partially D) Cannot tell. Answer:,A,Relationship,00190-NkvRYHk72vA_0.png
